segment_id,u,v,k,index,lat,lng,heading,image_path
324580159_324580358_0,324580159,324580358,0,0,10.3015678,123.87060375,0,data\road_images\324580159_324580358_0\0_0.jpg
324580358_324580159_0,324580358,324580159,0,0,10.3015678,123.87060375,0,data\road_images\324580358_324580159_0\0_0.jpg
324580358_1140342806_0,324580358,1140342806,0,0,10.301443479515779,123.87111999504427,0,data\road_images\324580358_1140342806_0\0_0.jpg
324580358_1138899340_0,324580358,1138899340,0,0,10.30160936284087,123.87124781855704,0,data\road_images\324580358_1138899340_0\0_0.jpg
940969330_1140342125_0,940969330,1140342125,0,0,10.3008269,123.8736706,0,data\road_images\940969330_1140342125_0\0_0.jpg
940969330_8318117591_0,940969330,8318117591,0,0,10.3007503,123.8734303,0,data\road_images\940969330_8318117591_0\0_0.jpg
940969330_1140342796_0,940969330,1140342796,0,0,10.30102888425986,123.87283509615796,0,data\road_images\940969330_1140342796_0\0_0.jpg
1138899340_324580358_0,1138899340,324580358,0,0,10.30160936284087,123.87124781855704,0,data\road_images\1138899340_324580358_0\0_0.jpg
1138899340_1140342126_0,1138899340,1140342126,0,0,10.301514997891454,123.87273988561896,0,data\road_images\1138899340_1140342126_0\0_0.jpg
1140342125_940969330_0,1140342125,940969330,0,0,10.3008269,123.8736706,0,data\road_images\1140342125_940969330_0\0_0.jpg
1140342125_1140342126_0,1140342125,1140342126,0,0,10.301034650137044,123.87362768107901,0,data\road_images\1140342125_1140342126_0\0_0.jpg
1140342126_1140342125_0,1140342126,1140342125,0,0,10.301034650137044,123.87362768107901,0,data\road_images\1140342126_1140342125_0\0_0.jpg
1140342126_1138899340_0,1140342126,1138899340,0,0,10.301514997891454,123.87273988561896,0,data\road_images\1140342126_1138899340_0\0_0.jpg
1140342699_1140342700_0,1140342699,1140342700,0,0,10.29963265,123.87052445,0,data\road_images\1140342699_1140342700_0\0_0.jpg
1140342699_1140342700_1,1140342699,1140342700,1,0,10.298956821495072,123.8705104171021,0,data\road_images\1140342699_1140342700_1\0_0.jpg
1140342699_1140342700_2,1140342699,1140342700,2,0,10.300318636217606,123.87048034359128,0,data\road_images\1140342699_1140342700_2\0_0.jpg
1140342699_1140342716_0,1140342699,1140342716,0,0,10.2996728,123.87098205,0,data\road_images\1140342699_1140342716_0\0_0.jpg
1140342700_1140342699_0,1140342700,1140342699,0,0,10.29963265,123.87052445,0,data\road_images\1140342700_1140342699_0\0_0.jpg
1140342700_1140342699_1,1140342700,1140342699,1,0,10.300318636217606,123.87048034359128,0,data\road_images\1140342700_1140342699_1\0_0.jpg
1140342700_1140342699_2,1140342700,1140342699,2,0,10.298956821495072,123.8705104171021,0,data\road_images\1140342700_1140342699_2\0_0.jpg
1140342716_1140342717_0,1140342716,1140342717,0,0,10.2994682,123.8711917,0,data\road_images\1140342716_1140342717_0\0_0.jpg
1140342716_1140342699_0,1140342716,1140342699,0,0,10.2996728,123.87098205,0,data\road_images\1140342716_1140342699_0\0_0.jpg
1140342716_1140342783_0,1140342716,1140342783,0,0,10.2997047,123.8713478,0,data\road_images\1140342716_1140342783_0\0_0.jpg
1140342717_1140342719_0,1140342717,1140342719,0,0,10.29908175,123.87116075,0,data\road_images\1140342717_1140342719_0\0_0.jpg
1140342717_1140342716_0,1140342717,1140342716,0,0,10.2994682,123.8711917,0,data\road_images\1140342717_1140342716_0\0_0.jpg
1140342717_1140342739_0,1140342717,1140342739,0,0,10.29925405,123.87140225,0,data\road_images\1140342717_1140342739_0\0_0.jpg
1140342719_1140342717_0,1140342719,1140342717,0,0,10.29908175,123.87116075,0,data\road_images\1140342719_1140342717_0\0_0.jpg
1140342719_12378167879_0,1140342719,12378167879,0,0,10.298926000000002,123.8710593,0,data\road_images\1140342719_12378167879_0\0_0.jpg
1140342719_1140342730_0,1140342719,1140342730,0,0,10.298720970761366,123.87135581235187,0,data\road_images\1140342719_1140342730_0\0_0.jpg
1140342730_1140342757_0,1140342730,1140342757,0,0,10.2986762,123.87174445,0,data\road_images\1140342730_1140342757_0\0_0.jpg
1140342730_1140342739_0,1140342730,1140342739,0,0,10.299017773918706,123.87162570239005,0,data\road_images\1140342730_1140342739_0\0_0.jpg
1140342730_1140342719_0,1140342730,1140342719,0,0,10.298720970761366,123.87135581235187,0,data\road_images\1140342730_1140342719_0\0_0.jpg
1140342739_1140342717_0,1140342739,1140342717,0,0,10.29925405,123.87140225,0,data\road_images\1140342739_1140342717_0\0_0.jpg
1140342739_1140342746_0,1140342739,1140342746,0,0,10.299480727514016,123.87240014969129,0,data\road_images\1140342739_1140342746_0\0_0.jpg
1140342739_1140342730_0,1140342739,1140342730,0,0,10.299017773918706,123.87162570239005,0,data\road_images\1140342739_1140342730_0\0_0.jpg
1140342746_8318118404_0,1140342746,8318118404,0,0,10.30008335,123.8723338,0,data\road_images\1140342746_8318118404_0\0_0.jpg
1140342746_8496942435_0,1140342746,8496942435,0,0,10.300214747602071,123.87254998186198,0,data\road_images\1140342746_8496942435_0\0_0.jpg
1140342746_1140342739_0,1140342746,1140342739,0,0,10.299480727514016,123.87240014969129,0,data\road_images\1140342746_1140342739_0\0_0.jpg
1140342757_1140342730_0,1140342757,1140342730,0,0,10.2986762,123.87174445,0,data\road_images\1140342757_1140342730_0\0_0.jpg
1140342757_10880381541_0,1140342757,10880381541,0,0,10.298497963305767,123.87200405667944,0,data\road_images\1140342757_10880381541_0\0_0.jpg
1140342757_1140342780_0,1140342757,1140342780,0,0,10.299090197956534,123.87263214265249,0,data\road_images\1140342757_1140342780_0\0_0.jpg
1140342769_10880381541_0,1140342769,10880381541,0,0,10.298582956044704,123.87262764650458,0,data\road_images\1140342769_10880381541_0\0_0.jpg
1140342780_1140342757_0,1140342780,1140342757,0,0,10.299090197956534,123.87263214265249,0,data\road_images\1140342780_1140342757_0\0_0.jpg
1140342783_1140342716_0,1140342783,1140342716,0,0,10.2997047,123.8713478,0,data\road_images\1140342783_1140342716_0\0_0.jpg
1140342783_1140342792_0,1140342783,1140342792,0,0,10.30014008197724,123.87137126656593,0,data\road_images\1140342783_1140342792_0\0_0.jpg
1140342783_8318118404_0,1140342783,8318118404,0,0,10.299830393517853,123.87191795450065,0,data\road_images\1140342783_8318118404_0\0_0.jpg
1140342792_1140342783_0,1140342792,1140342783,0,0,10.30014008197724,123.87137126656593,0,data\road_images\1140342792_1140342783_0\0_0.jpg
1140342796_940969330_0,1140342796,940969330,0,0,10.30102888425986,123.87283509615796,0,data\road_images\1140342796_940969330_0\0_0.jpg
1140342796_1140342806_0,1140342796,1140342806,0,0,10.301271652315437,123.8718306384996,0,data\road_images\1140342796_1140342806_0\0_0.jpg
1140342796_1140342800_0,1140342796,1140342800,0,0,10.300970057471599,123.87202155428517,0,data\road_images\1140342796_1140342800_0\0_0.jpg
1140342800_1140342796_0,1140342800,1140342796,0,0,10.300970057471599,123.87202155428517,0,data\road_images\1140342800_1140342796_0\0_0.jpg
1140342806_1140342796_0,1140342806,1140342796,0,0,10.301271652315437,123.8718306384996,0,data\road_images\1140342806_1140342796_0\0_0.jpg
1140342806_324580358_0,1140342806,324580358,0,0,10.301443479515779,123.87111999504427,0,data\road_images\1140342806_324580358_0\0_0.jpg
1140342806_1140342810_0,1140342806,1140342810,0,0,10.300977852663971,123.87163906596732,0,data\road_images\1140342806_1140342810_0\0_0.jpg
1140342810_1140342806_0,1140342810,1140342806,0,0,10.300977852663971,123.87163906596732,0,data\road_images\1140342810_1140342806_0\0_0.jpg
8318117586_8318117591_0,8318117586,8318117591,0,0,10.300360000000001,123.8734675,0,data\road_images\8318117586_8318117591_0\0_0.jpg
8318117591_940969330_0,8318117591,940969330,0,0,10.3007503,123.8734303,0,data\road_images\8318117591_940969330_0\0_0.jpg
8318117591_8318117586_0,8318117591,8318117586,0,0,10.300360000000001,123.8734675,0,data\road_images\8318117591_8318117586_0\0_0.jpg
8318117591_8496942435_0,8318117591,8496942435,0,0,10.300492089024692,123.87300585666812,0,data\road_images\8318117591_8496942435_0\0_0.jpg
8318118400_8318118404_0,8318118400,8318118404,0,0,10.300207581706832,123.87217599803583,0,data\road_images\8318118400_8318118404_0\0_0.jpg
8318118404_1140342746_0,8318118404,1140342746,0,0,10.30008335,123.8723338,0,data\road_images\8318118404_1140342746_0\0_0.jpg
8318118404_1140342783_0,8318118404,1140342783,0,0,10.299830393517853,123.87191795450065,0,data\road_images\8318118404_1140342783_0\0_0.jpg
8318118404_8318118400_0,8318118404,8318118400,0,0,10.300207581706832,123.87217599803583,0,data\road_images\8318118404_8318118400_0\0_0.jpg
8496942434_8496942435_0,8496942434,8496942435,0,0,10.300068,123.87293745,0,data\road_images\8496942434_8496942435_0\0_0.jpg
8496942435_8496942434_0,8496942435,8496942434,0,0,10.300068,123.87293745,0,data\road_images\8496942435_8496942434_0\0_0.jpg
8496942435_1140342746_0,8496942435,1140342746,0,0,10.300214747602071,123.87254998186198,0,data\road_images\8496942435_1140342746_0\0_0.jpg
8496942435_8318117591_0,8496942435,8318117591,0,0,10.300492089024692,123.87300585666812,0,data\road_images\8496942435_8318117591_0\0_0.jpg
10880381536_10880381541_0,10880381536,10880381541,0,0,10.298279091694171,123.87216566588455,0,data\road_images\10880381536_10880381541_0\0_0.jpg
10880381541_1140342769_0,10880381541,1140342769,0,0,10.298582956044704,123.87262764650458,0,data\road_images\10880381541_1140342769_0\0_0.jpg
10880381541_1140342757_0,10880381541,1140342757,0,0,10.298497963305767,123.87200405667944,0,data\road_images\10880381541_1140342757_0\0_0.jpg
10880381541_10880381536_0,10880381541,10880381536,0,0,10.298279091694171,123.87216566588455,0,data\road_images\10880381541_10880381536_0\0_0.jpg
12378167879_1140342719_0,12378167879,1140342719,0,0,10.298926000000002,123.8710593,0,data\road_images\12378167879_1140342719_0\0_0.jpg
