segment_id,u,v,k,index,lat,lng,heading,image_path,proxy_paser_score
281418189_960110982_0,281418189,960110982,0,0,10.310464843045612,123.89291093816205,71.83838589005177,data\road_images\281418189_960110982_0\0_72.jpg,7.056931160153501
281418213_1680513007_0,281418213,1680513007,0,0,10.2971243,123.89537465000001,253.01905653262088,data\road_images\281418213_1680513007_0\0_253.jpg,7.949781478640418
281418213_282921471_0,281418213,282921471,0,0,10.296388803470466,123.89627341204428,164.16881046399328,data\road_images\281418213_282921471_0\0_164.jpg,4.918033066292124
281418213_5771172377_0,281418213,5771172377,0,0,10.29792195392991,123.89582765564849,343.9759191972856,data\road_images\281418213_5771172377_0\0_344.jpg,7.003372594224557
281418213_1129145570_0,281418213,1129145570,0,0,10.29751751807554,123.89669944469355,73.39148623655757,data\road_images\281418213_1129145570_0\0_73.jpg,5.023348680264421
281418215_8375027781_0,281418215,8375027781,0,0,10.29892925,123.89550285,261.405339666653,data\road_images\281418215_8375027781_0\0_261.jpg,5.035493401178131
281418215_5797095177_0,281418215,5797095177,0,0,10.299162466839281,123.89604468686338,62.5628280287242,data\road_images\281418215_5797095177_0\0_63.jpg,6.562935097507926
281437797_773093506_0,281437797,773093506,0,0,10.308222189982134,123.89382219146265,164.183907154846,data\road_images\281437797_773093506_0\0_164.jpg,6.986580213344887
281437797_1685351613_0,281437797,1685351613,0,0,10.309255169638126,123.8934521331902,240.65283508900126,data\road_images\281437797_1685351613_0\0_241.jpg,7.021921641849906
281440726_282920167_0,281440726,282920167,0,0,10.31962485,123.90215375,61.793317173354126,data\road_images\281440726_282920167_0\0_62.jpg,3.4922323825013635
281440726_1101216255_0,281440726,1101216255,0,0,10.3193376,123.90159650000001,242.86076889370923,data\road_images\281440726_1101216255_0\0_243.jpg,3.769615138948196
281440726_470965743_0,281440726,470965743,0,0,10.320158750000001,123.9015301,332.4884130997574,data\road_images\281440726_470965743_0\0_332.jpg,6.9982032054238426
281440726_281440730_0,281440726,281440730,0,0,10.319003949999999,123.90212460000001,154.06489002938713,data\road_images\281440726_281440730_0\0_154.jpg,6.986580213344887
281440730_282920168_0,281440730,282920168,0,0,10.318668200000001,123.90264404999999,62.492035323710354,data\road_images\281440730_282920168_0\0_62.jpg,7.987721057352577
281440730_1101216247_0,281440730,1101216247,0,0,10.318377550000001,123.90208394999999,241.88600992764037,data\road_images\281440730_1101216247_0\0_242.jpg,6.9982032054238426
